shortest to longest half-life,isotopeName,Symbol,massNumber,atomicMassSpecific,percentAbundance,elementName,atomicNumber,neutrons,stable,halfLife-years,halfLife-power10years,halfLife-days,halfLife-hours,halfLife-minutes,halfLife-seconds,halfLife-power10seconds
,scandium-45,Sc,45,44.956,1.00000,scandium,21,,stable,,,,,,,
123,scandium-46,Sc,46,,,scandium,21,,,,,83.79,,,,
152,titanium-44,Ti,,,,titanium,22,,,63,0,,,,,
,titanium-46,Ti,46,45.953,0.0825,titanium,22,,stable,,,,,,,
,titanium-47,Ti,47,46.952,0.0744,titanium,22,,stable,,,,,,,
,titanium-48,Ti,48,47.948,0.7372,titanium,22,,stable,,,,,,,
,titanium-49,Ti,49,48.948,0.0541,titanium,22,,stable,,,,,,,
,titanium-50,Ti,50,49.945,0.0518,titanium,22,,stable,,,,,,,
116,vanadium-48,V,,,,vanadium,23,,,,,15.9735,,,,
133,vanadium-49,V,,,,vanadium,23,,,,,330,,,,
235,vanadium-50,V,50,49.947,0.00250,vanadium,23,,stable,140,15,,,,,
,vanadium-51,V,51,50.944,0.99750,vanadium,23,,stable,,,,,,,
118,chromium-51,Cr,,,,chromium,24,,,,,27.7025,,,,
,chromium-52,Cr,52,51.941,0.83789,chromium,24,,stable,,,,,,,
,chromium-50,Cr,50,49.946,0.04345,chromium,24,,stable,,,,,,,
,chromium-54,Cr,54,53.939,0.02365,chromium,24,,stable,,,,,,,
,chromium-53,Cr,53,52.941,0.09501,chromium,24,,stable,,,,,,,
111,manganese-52,Mn,,,,manganese,25,,,,,5.591,,,,
206,manganese-53,Mn,,,,manganese,25,,,3.7,6,,,,,
,manganese-55,Mn,55,54.938,1.00000,manganese,25,,stable,,,,,,,
141,iron-55,Fe,,,,iron,26,,,2.737,0,,,,,
197,iron-60,Fe,,,,iron,26,,,1.5,6,,,,,
,iron-54,Fe,54,53.940,0.05845,iron,26,,stable,,,,,,,
,iron-56,Fe,56,55.935,0.91754,iron,26,,stable,,,,,,,
,iron-57,Fe,57,56.935,0.02119,iron,26,,stable,,,,,,,
,iron-58,Fe,58,57.933,0.00282,iron,26,,stable,,,,,,,
122,cobalt-56,Co,,,,cobalt,27,,,,,77.27,,,,
132,cobalt-57,Co,,,,cobalt,27,,,,,271.79,,,,
,cobalt-59,Co,59,58.933,1.00000,cobalt,27,,stable,,,,,,,
143,cobalt-60,Co,,,,cobalt,27,,,5.2714,0,,,,,
182,nickel-59,Ni,,,,nickel,28,,,76,3,,,,,
156,nickel-63,Ni,,,,nickel,28,,,100.1,0,,,,,
,nickel-58,Ni,58,57.935,0.68077,nickel,28,,stable,,,,,,,
,nickel-60,Ni,60,59.931,0.26223,nickel,28,,stable,,,,,,,
,nickel-61,Ni,61,60.931,0.011399,nickel,28,,stable,,,,,,,
,nickel-62,Ni,62,61.928,0.036346,nickel,28,,stable,,,,,,,
,nickel-64,Ni,64,63.928,0.009255,nickel,28,,stable,,,,,,,
,copper-63,Cu,63,,,copper,29,,stable,,,,,,,
,copper-65,Cu,65,,,copper,29,,stable,,,,,,,
131,zinc-65,Zn,65,,,zinc,30,,,,,243.7,,,,
,gallium-69,Ga,69,,0.60108,gallium,31,,stable,,,,,,,
,gallium-71,Ga,71,,0.39892,gallium,31,,stable,,,,,,,
247,germanium-76,Ge,76,,,germanium,32,,,1.8,21,,,,,
,arsenic-75,As,75,,1.00000,arsenic,33,,stable,,,,,,,
196,selenium-79,Se,79,,,selenium,34,,,1.13,6,,,,,
244,selenium-82,Se,82,,,selenium,34,,,97,18,,,,,
,bromine-79,Br,79,,0.50690,bromine,35,,stable,,,,,,,
,bromine-81,Br,81,,0.49310,bromine,35,,stable,,,,,,,
249,krypton-78,Kr,78,,,krypton,36,,,9.2,21,,,,,
188,krypton-81,Kr,81,,,krypton,36,,,229,3,,,,,
144,krypton-85,Kr,85,,,krypton,36,,,10.756,0,,,,,
223,rubidium-87,Rb,,,,rubidrum,37,,,49.23,9,,,,,
149,strontium-90,Sr,,,,strontium,38,,,28.79,0,,,,,
,yttrium-89,Y,89,,1.00000,yttrium,39,,stable,,,,,,,
199,zirconium-93,Zr,,,,zirconium,40,,,1.53,6,,,,,
241,zirconium-96,Zr,,,,zirconium,40,,,20,18,,,,,
147,niobium,Nb,,,,niobinm,41,,,16.13,0,,,,,
162,niobium-91,Nb,,,,niobium,41,,,680,0,,,,,
214,niobium-92,Nb,,,,niobinm,41,,,34.7,6,,,,,
176,niobium-94,Nb,,,,niobium,41,,,20300,0,,,,,
239,molybdenum-100,Mo,,,,molybdenum,42,,,8.5,18,,,,,
167,molybdenum-93,Mo,,,,molybdenum,42,,,4000,0,,,,,
203,technetium-97,Tc,,,,technetium,43,,,2.6,6,,,,,
207,technetium-98,Tc,,,,technetium,43,,,4.2,6,,,,,
187,technetium-99,Tc,,,,technetium,43,,,211.1,3,,,,,
135,ruthenium-106,Ru,,,,ruthenium,44,,,1.023,0,,,,,
