,Isotope,,,,,,,,,,,Half-life,,,,,,
shortest to longest half-life,Isotope Name,Symbol,Mass number (Z) ,Atomic Mass (specific),Percent Abundance,Element Name,Atomic Number (A),Neutrons (n),,,Stable,years,years power of 10,days,hours,minutes,seconds,seconds power of 10
141,iron-55,Fe,,,,iron,26,,,,,2.737,0,,,,,
197,iron-60,Fe,,,,iron,26,,,,,1.5,6,,,,,
,iron-54,Fe,54,  53.939 608 99(53),  0.058 45,iron,26,,,,stable,,,,,,,
,iron-56,Fe,56,  55.934 936 33(49),  0.917 54,iron,26,,,,stable,,,,,,,
,iron-57,Fe,57,  56.935 392 84(49),  0.021 19,iron,26,,,,stable,,,,,,,
,iron-58,Fe,58,  57.933 274 43(53),  0.002 82,iron,26,,,,stable,,,,,,,
80,flerovium-289,Fl,,,,flerovium,114,,,,,,,,,,2.6,0
41,fermium-241,Fm,,,,fermium,100,,,,,,,,,,730,-6
43,fermium-242,Fm,,,,fermium,100,,,,,,,,,,800,-6
103,fermium-252,Fm,,,,fermium,100,,,,,,,1.058,,,,
107,fermium-253,Fm,,,,fermium,100,,,,,,,3,,,,
126,fermium-257,Fm,,,,fermium,100,,,,,,,100.5,,,,
39,fermium-258,Fm,,,,fermium,100,,,,,,,,,,370,-6
,francium-221,Fr,221,,,francium,87,,,,,,,,,4.9,,
,francium-222,Fr,222,,,francium,87,,,,,,,,,14,,
,francium-223,Fr,223,,,francium,87,,,,,,,,,22,,
,francium-224,Fr,224,,,francium,87,,,,,,,,,3.33,,
,francium-225,Fr,225,,,francium,87,,,,,,,,,4,,
,gallium-69,Ga,69,,0.60108,gallium,31,,,,stable,,,,,,,
,gallium-71,Ga,71,,0.39892,gallium,31,,,,stable,,,,,,,
,,Ga,69,  68.925 5735,  0.601 08,gallium,31,,,,,,,,,,,
,,Ga,71,  70.924 702 58,  0.398 92,gallium,31,,,,,,,,,,,
200,gadolinium-150,Gd,,,,gadolinium,64,,,,,1.79,6,,,,,
227,gadolinium-152,Gd,,,,gadolinium,64,,,,,108,12,,,,,
,,Gd,152,151.919 7995,  0.0020,gadolinium,64,,,,,,,,,,,
,,Gd,154,153.920 8741,  0.0218,gadolinium,64,,,,,,,,,,,
,,Gd,155,154.922 6305,  0.1480,gadolinium,64,,,,,,,,,,,
,,Gd,156,155.922 1312,  0.2047,gadolinium,64,,,,,,,,,,,
,,Gd,157,156.923 9686,  0.1565,gadolinium,64,,,,,,,,,,,
,,Gd,158,157.924 1123,  0.2484,gadolinium,64,,,,,,,,,,,
,,Gd,160,159.927 0624,  0.2186,gadolinium,64,,,,,,,,,,,
247,germanium-76,Ge,,,,germanium,32,,,,,1.8,21,,,,,
,,Ge,70,  69.924 248 75,  0.2057,germanium,32,,,,,,,,,,,
,,Ge,72,  71.922 075 826,  0.2745,germanium,32,,,,,,,,,,,
,,Ge,73,  72.923 458 956,  0.0775,germanium,32,,,,,,,,,,,
,,Ge,74,  73.921 177 761,  0.3650,germanium,32,,,,,,,,,,,
,,Ge,76,  75.921 402 726,  0.0773,germanium,32,,,,,,,,,,,
,hydrogen-1,H,1,1.007825,0.999885,hydrogen,1,,,,Stable,,,,,,,
,hydrogen-2,H,2,2.014101778,0.000115,hydrogen,1,,,,Stable,,,,,,,
145,hydrogen-3,H,3,3.016049281,,hydrogen,1,,,,,12.32,0,,,,,
3,hydrogen-4,H,4,4.026,,hydrogen,1,,,,,,,,,,139,-24
2,hydrogen-5,H,5,5.035,,hydrogen,1,,,,,,,,,,80,-24
5,hydrogen-6,H,6,6.044,,hydrogen,1,,,,,,,,,,290,-24
1,hydrogen-7,H,7,4.05275,,hydrogen,1,,,,,,,,,,23,-24
,helium-3,He,3,3.016,1.34E-06,helium,2,,,,Stable,,,,,,,
,helium-4,He,4,4.0026,0.99999866,helium,2,,,,Stable,,,,,,,
13,helium-10,He,10,10.0524,,helium,2,,,,,,,,,,1.52,-21
12,helium-5,He,5,5.0122,,helium,2,,,,,,,,,,760,-24
76,helium-6,He,6,6.0188891,,helium,2,,,,,,,,,,806.7,-3
16,helium-7,He,7,7.02802,,helium,2,,,,,,,,,,3.04,-21
